,General ,,,,,,,,,Pricing / PCE or ROLL ,,,,,,,,Dimension Deflated,,,Dimension Inflated / Outer,,,Shipping Details,,,,,,Technical,,Comments
Amended P/N,GAIA P/N,SG P/N,Short Description,Description,Supplementary P/N,Product Category,Manual / Auto,Film Thickness (um),STATUS,C/P USD,DDP GBP,GAIA S/P,SG P/P,SG BB,PCS per CTN/Roll*,PCS / CTN / Rolls per pallet,MOQ Qty (CTN/pallet),Width (mm),Length (mm),Height (perforation) mm,Width (mm),Length (mm),Height (perforation) mm,CTN/Roll per pallet,CTN Width,CTN Length,CTN Height,NETT Weight (Kg) / CTN/ROLL,GROSS Weight (Kg) / CTN/ROLL,Cyclinder Sequence,Sealing Sequence,
,GC3769,,,"AIR|SHIELD TABLET 12.9""  140 micron",,AIR|SHIELD™,Manual,140,Active,0.23,,0.74,,,,,,,,,,,,,,,,,,,,
GC3998U150,GC3998,,,"AIR|SHIELD Motherboard & Screen : 2cm air chamber Grade: 150micron
Style: Q type bag",,AIR|SHIELD™,Manual,150,Active,0.252,,0.36,,,,,,,,,,,,,,,,,,,,
GC3999U150,GC3999,,,AIR|SHIELD CD Rom | Q type bag |  Air tube: 2cm ,,AIR|SHIELD™,Manual,150,Active,0.178,,0.25,,,,,,,,,,,,,,,,,,,,
,GC2169A150,IPDESKTOPSTDTA,,AIR|SHIELD Desktop STD: Design: End Cap | Grade: 150um | 200pcs/CTN,,AIR|SHIELD™,Manual,150,Active,0.31,,0.78,,,200,,1,,,,,,,,52,40,20,16.3,17.3,,,
,GC2210B150,,,AIR|SHIELD Notebook End Cap LRG | Grade 150um | Application: ITC,,AIR|SHIELD™,Manual,150,Active,0.3,,0.4375,,,,,,,,,,,,,52,40,20,19.5,20.5,,,
,GC2713,,,AIR|SHIELD Smart Phone | Q-Bag,,AIR|SHIELD™,Manual,,Active,0.11,,0.3654,,,1000,,,,,,,,,,42,34,23,11.7,12.2,,,
GC2758A120,GC2758A,,,AIR|SHIELD Notebook Slim | Design: Q-Bag | Grade: 120um | CTN 520x400x200mm,,AIR|SHIELD™,Manual,120,Active,0.2,,,,,300,36,,,,,,,,36,52,40,18,14.8,15.8,,,
GC3609U200,GC3609,,,Curved Door (Wren) 200micron+120micron hanging film),,AIR|SHIELD™,Manual,200/*120HB,Active,1.23,,1.75,,,,,,,,,,,,,,,,,,,,
GC3612U150,GC3612,,,Wren flat door corner piece (150micron),,AIR|SHIELD™,Auto,150,Active,0.41,,0.58,,,,,,,,,,,,,,,,,,,,
GC3619B200,GC3619B,,,AIR|SHIELD TV U Block | Grade 200um | Compatible with Mammoth TV case,TC70MAM | TC75MAM_SAM,AIR|SHIELD™,Manual,200,Active,0.75,,3.1,,,,,,,,,,,,,80,40,16,27.6,28.8,,,
