,General ,,,,,,,,,Pricing / PCE or ROLL ,,,,,,,,Dimension Deflated,,,Dimension Inflated / Outer,,,Shipping Details,,,,,,Technical,,Comments
Amended P/N,GAIA P/N,SG P/N,Short Description,Description,Supplementary P/N,Product Category,Manual / Auto,Film Thickness (um),STATUS,C/P USD,DDP GBP,GAIA S/P,SG P/P,SG BB,PCS per CTN/Roll*,PCS / CTN / Rolls per pallet,MOQ Qty (CTN/pallet),Width (mm),Length (mm),Height (perforation) mm,Width (mm),Length (mm),Height (perforation) mm,CTN/Roll per pallet,CTN Width,CTN Length,CTN Height,NETT Weight (Kg) / CTN/ROLL,GROSS Weight (Kg) / CTN/ROLL,Cyclinder Sequence,Sealing Sequence,
,SGAM12029200U150,IPAM1200290200,,AIR|MAT 1200x290mm 200m | Grade: 150um | 200rolls/pallet,,AIR|MAT™,Auto,150,Active,,,196,,,,200,1200,200,290,,,,,,,,,,,,,
,SGAP2001201000C15,,,AIR|PAKK 200x120mm 1000m | Type: Cushion | Grade: 15um | ,,AIR|PAKK™,Auto,15,Active,31.3375,,27.25,,,,,200,1000,120,,,,,,,,,,,,,
,SGAP200601000C15,,,AIR|PAKK 200x60mm 1000m | Type: Cushion | Grade: 15um | ,,AIR|PAKK™,Auto,15,Active,31.3375,,27.25,,,,,200,1000,60,,,,,,,,,,,,,
,SGGC3297A1,IPTVENDCAP,,"TRANS|CASE END CAPS, AIR|SHIELD | 200um",,AIR|SHIELD™,Manual,200,Active,1.78,,0,,,,,,,,,,,,,,,,,,,,
,SGGC3297B,IPTVBLOCKSMLBB,,TRANS|CASE BLOCKS SML - AIR|SHIELD | 200mu,,AIR|SHIELD™,Manual,200,Active,0.93,,,,,,,,,,,,,,,,,,,,,,
,SGGC3642,IPTVBLOCKLGEBB,,AIR|SHIELD TRANS|CASE BLOCK LRG | 200mu,,AIR|SHIELD™,Manual,200,Active,0.6655,,0.99,,,,,,,,,,,,,,,,,,,,
,SGGC4000,,,AIR|SHEILD 2.5 HDD : Air chamber: 3cm  | Style: Q type bag | material : ESD,,AIR|SHIELD™,Manual,150,Active,0.126,,0.11,,,,,,,,,,,,,,,,,,,,
,SGGC4118B,,,AIR|SHEILD 3.5 HDD : Air chamber: 3cm | Style: Q type bag | material : ESD ,,AIR|SHIELD™,Manual,150,Active,0.085,,0.14,,,1000,,,,,,,,,,,,,,,,,
,SGWINEBP1,IPWINESGLSS,,AIR|SHIELD Wine - SINGLE | Diameter 3cm | Q-bag | 300pcs/CTN,,AIR|SHIELD™,Manual,,Active,0.3044,,0.2647,,,300,,,,,,,,,,,,,,,,,
,SGWINEBP2,IPWINEDBLSS,,AIR|SHIELD Wine 750ml - DOUBLE | diameter 3cm | Q-Bag | 300pcs/CTN,,AIR|SHIELD™,Manual,,Active,0.538,,0.4679,,,300,,,,,,,,,,,,,,,,,
,SGWINEBP3,IPWINETPLSS,,AIR|SHIELD Wine Holder - TRIPLE,,AIR|SHIELD™,Manual,,Active,0.77,,0.671,,,300,,,,,,,,,,,,,,,,,
,TC10011SG_BH,,,TRANS|COVER - Single Seater | Samtex Shell | Black,,TRANS|COVER,N/A,,Active,298.86,,0,,,,,,,,,,,,,,,,,,,,
,TC10012SG_BH,,,TRANS|COVER 2 Seater | Samtex Shell | Black | Blue Webbing,,TRANS|COVER,N/A,,Active,311.78,,0,,,,,,,,,,,,,,,,,,,,
,TC10013SG_BH,,,TRANS|COVER 3 Seater | Samtex Shell | Black | Webbing,,TRANS|COVER,N/A,,Active,325.72,,0,,,,,,,,,,,,,,,,,,,,
,TC10020SG_BH,,,TRANS|COVER Carry Bag | Black | Samtex,,TRANS|COVER,N/A,,Active,15.76,,0,,,,,,,,,,,,,,,,,,,,
,TC50SML,,,"TRANS|CASE TV SML :  TV Size 32""-50"" | Durable poly outer incl. AIR|SHIELD End Cap, Divider and straps.",,TRANS|CASE ,N/A,,Active,99.3,,129.49,,,,,,,,,,,,,,,,,,,,
,TC65LRG,,,"TRANS|CASE TV LRG : TV Size 48""-65"" | Durable poly outer incl. AIR|SHIELD End Cap, Divider and straps.",,TRANS|CASE ,N/A,,Active,112.6,,158,,,,,,,,,,,,,,,,,,,,
,TC65LRG_LL,,,"TRANS|CASE TV LRG : Linnet & Larsen 55""-66"" TV | Durable poly outer incl. AIR|SHIELD End Cap, Divider and straps.",,TRANS|CASE ,N/A,,Archived,158.6,,210,,,,,,,,,,,,,,,,,,,,
,TC70MAM,,,"TRANS|CASE TV MAMMOTH : TV Size 65""-70"" WITHOUT STAND | Durable poly outer incl. AIR|SHIELD End Cap, Divider and straps.",GC3619B,TRANS|CASE ,N/A,,Active,137.22,,191,,,,,,,,,,,,,,,,,,,,
,TC75MAM_SAM,,,"TRANS|CASE TV MAMMOTH : Samsung 75"" TV | Reusable | Durable poly outer incl. AIR|SHIELD End Cap, Divider and straps.",GC3619B,TRANS|CASE ,N/A,,Active,169.75,,238.9,,,,,,,,,,,,,,,,,,,,
,TCBUCKLE,,,TRANS|CASE QR Buckle: Compatible all TRANS|CASE product range,,TRANS|CASE ,N/A,,Active,18,,24.95,,,,,,,,,,,,,,,,,,,,
,TCDIVLRG,,,TRANS|CASE Divider: Compatible LRG TRANS|CASE product range,,TRANS|CASE ,N/A,,Active,6.25,,13.5,,,,,,,,,,,,,,,,,,,,
,TCDIVSML,,,TRANS|CASE Divider: Compatible SML TRANS|CASE product range,,TRANS|CASE ,N/A,,Active,6.95,,12.5,,,,,,,,,,,,,,,,,,,,
,TRANSSTRAP,,,Internal strap (single) 25mm x 3000mm webbing with affixed buckle,,TRANS|CASE ,N/A,,Active,1.97,,2.5,,,,,,,,,,,,,,,,,,,,
,Ventu60,,,Air Cushion Machine | 200mm-600mm width capability | 15m/min,,AIR|PAKK™,Auto,,Active,573,,,,,,,,,,,,,,,,,,,,,,
,Vu60Basket01,,,Ventu|60 Basket (without fixed board),,AIR|PAKK™,Auto,,Active,80,,,,,,,,,,,,,,,,,,,,,,
,Vu60Basket02,,,Ventu|60 Basket & Fixed Board,,AIR|PAKK™,Auto,,Active,100,,,,,,,,,,,,,,,,,,,,,,
,Vu60Trolley,,,Ventue|60 Trolley,,AIR|PAKK™,Auto,,Active,120,,,,,,,,,,,,,,,,,,,,,,
,WINEBP1U120,IPWINESGLSS,,AIR|SHIELD Wine - SINGLE | Diameter 3cm | Q-bag | 300pcs/CTN,,AIR|SHIELD™,Manual,,Active,0.182,,0.347,,,,,,,,,,,,,,,,,,,,
,WINEBP2U120,,,AIR|SHIELD Wine 750ml - DOUBLE | diameter 3cm | Q-Bag | Grade: 120um | 300pcs/CTN,,AIR|SHIELD™,Manual,120,Active,0.334,,0.538,,,,,,,,,,,,,,,,,,,,
,WINEBP3U120,,,AIR|SHIELD Wine 750ml - TRIPLE | diameter 3cm | Q-Bag | Grade: 120um | 200pcs/CTN,,AIR|SHIELD™,Manual,120,Active,0.48,,0.8947,,,,,,,,,,,,,,,,,,,,
,WINEDBLKIT,,,AIR|SHIELD Wine Double Kit incl carton 0201 150K/T EB plain glued,,Corr Case ,N/A,,Active,0,,1.03,,,,,,,,,,,,,,,,,,,,
,WINEHEXKIT,,,AIR|SHIELD Wine Hex Kit incl carton 0201 150K/T EB plain glued,,Corr Case ,N/A,,Active,0,,2.39,,,,,,,,,,,,,,,,,,,,
,WINESGLKIT,,,AIR|SHIELD Wine Single Kit incl. carton 0201 150K/T EB plain glued,,Corr Case ,N/A,,Active,0,,0.61,,,,,,,,,,,,,,,,,,,,
,GC4213C,,,AIR|SHIELD | Circle Type | Light Track,,AIR|SHIELD™,Manual,,Prototype,,,,,,,,,,,,,,,,,,,,,,,
,GC4951C200,,,AIR | SHIELD | End Cap + Wings for Server,,AIR|SHIELD™,Manual,200,Prototype,,,,,,,,,,,,,,,,,,,,,,,
,GC3297A1,,,TRANS|CASE End Cap: AIR|SHIELD |  Accompany Mammoth and Large TV Cases,,AIR|SHIELD™,Manual,200,Active,,,,,,,,,,,,,,,,52,40,20,18.4,19.4,,,
?,55LCDTV_KIT,,Brighthouse ,"55"" LCD TV Kit | AIR|SHIELD End Caps - GC2069U150 (2) | CC13508202250203 |  55LCDTV_VOID (4)",,,,,Active,,,,,,,,,,,,,,,,,,,,,,,
?,60LCDTV_KIT,,Brighthouse,"60"" LCD TV Kit | AIR|SHIELD End Caps - GC2456U200 (2) | CC14908902250203 | | 60LCDTV_VOID (4)",,,,,Active,,,,,,,,,,,,,,,,,,,,,,,
,GC2069U150,,,"AIR|SHIELD 55"" LCD End Caps ",,AIR|SHIELD™,Manual,150,Active,,,,,,,,,,,,,,,,,,,,,,,
,GC2456U200,,,"AIR|SHIELD 60"" LCD End Caps ",,AIR|SHIELD™,Manual,200,Active,2.08,,3.71,,,50,,,,,,,,,,62,33,25,22.5,23.5,,,
,CC13508202250203,,,"CTN  1350x820x225mm | Style 0203 | 55"" LCD TV ",,Corr Case ,N/A,,Active,,,,,,,,,,,,,,,,,,,,,,,
,CC14908902250203,,,"CTN  1490x890x225mm | Style 0203 | 60"" LCD TV ",,Corr Case ,N/A,,Active,,,,,,,,,,,,,,,,,,,,,,,
,55LCDTV_VOID,,,"55"" TV Inner Carton Void Piece",,Corr Case ,N/A,,Active,1.25,,1.44,,,,,,,,,,,,,,,,,,,,
,60LCDTV_VOID,,,"60"" TV Inner Carton Void Piece",,Corr Case ,N/A,,Active,1.29,,1.48,,,,,,,,,,,,,,,,,,,,
,AI_150,,,AIR|INFLATE150 - Desktop Auto-Inflate Machine compatible with AIR|MAT & AIR|SHIELD product range,,,N/A,,Active,615,,"1,270.00",,,,,,,,,,,,,,,,,,,,
,AI_150EXT,,,Auto Inflate Extension Arm; compatible with AIR|INFLATE150 Desktop Auto-Inflation Device extending maximum roll width to 1200mm,,,N/A,,Active,50,,100,,,,,,,,,,,,,,,,,,,,
,AI_Rental,,,AIR|INFLATE Monthly Rental Charge,,,N/A,,Active,,,46,,,,,,,,,,,,,,,,,,,,
,AI150Rollers,,,AI150 Roller Guides | Material PE (polyethylene) | 6 rollers/set,,,N/A,,Active,80,,115.18,,,,,,,,,,,,,,,,,,,,
,AI150WCBlade,,,AI150 Tungsten Carbide (WC) Blade incl. hardened tip | MOQ 100pcs,,,N/A,,Active,9,,12.97,,,,,,,,,,,,,,,,,,,,
,GC5175A150,IPCENTREPPP,AIR|SHIELD Whiteboard Centre,AIR|SHIELD Whiteboard Centre | 150um ,,AIR|SHIELD™,Manual,150,Active,1.5,,,,,60,36,,,,,,,,36,75,35,20,19.3,20.3,,,
,GC1511U200,,AIR|SHIELD | LRJ Headlamp AirBag,AIR|SHIELD | LRJ Headlamp AirBag,,AIR|SHIELD™,Manual,,Prototype,,,,,,,,,,,,,,,,,,,,,,,Sample for JRL Co.
,GC5329A200,,AIR|SHIELD | AGA Tube Ring ,AIR|SHIELD | AGA Tube Ring| 40mm Tube ,,AIR|SHIELD™,Manual,,Prototype,4.5,,,,,,,,,,,,,,,,,,,,,,AGA Sample
,GC5329B200,,AIR|SHIELD | AGA Tube Ring ,AIR|SHIELD | AGA Tube Ring |60mm Tube |  ,,AIR|SHIELD™,Manual,,Prototype,4.5,,,,,,,,,,,,,,,,,,,,,,AGA Sample
,GC5333A200,,AIR|SHIELD |ReviveIT Tube L Bag ,AIR|SHIELD | ReviveIT Tube L Bag | 30mm Tube | 150pcs/CTN,,AIR|SHIELD™,Manual,200,Prototype,0.43,,0.86,,,150,36,,,,,,,,36,400,520,200,,,,,Sample for Revive IT / Tape Drive
,GC5333B200,,AIR|SHIELD | ReviveIT Tube L Bag ,AIR|SHIELD | ReviveIT Tube L Bag | 40mm Tube | 150pcs/CTN,,AIR|SHIELD™,Manual,200,Prototype,0.43,,,,,150,36,,,,,,,,36,400,520,200,,,,,Sample for Revive IT / Tape Drive
,GC5334A200,,AIR|SHIELD | End Cap | Apple,AIR|SHIELD | End Cap | Apple Desktop | 120pcs/CTN,,AIR|SHIELD™,Manual,200,Prototype,0.64,,,,,120,36,,,,,,,,36,400,520,200,,,,,Sample for Revive IT / Apple Desktop
,GC5334B200,,AIR|SHIELD Apple End Cap + Hanging Bag,AIR|SHIELD | End Cap + Hanging Bag | Apple Desktop | 80pcs/CTN,,AIR|SHIELD™,Manual,200,Prototype,0.95,,,,,80,36,,,,,,,,36,400,520,200,,,,,Sample for Revive IT / Apple Desktop
,GC5347U200,,AIR|SHIELD | GCE L Bag SML,AIR|SHIELD | GCE L Bag | GCE Oxygen Small Unit (11+1) | 200pcs/Roll,,AIR|SHIELD™,Auto,200,Prototype,56,,,,,200*,64,,,,,,,,64,280,280,490,,,11+1,,Sample for GCE Oxygen Small Unit
,GC5348U200,,AIR|SHIELD | GCE End Cap 3cm,AIR|SHIELD | End Cap | GCE Oxygen Large | 30mm Tube | 120pcs/Roll,,AIR|SHIELD™,Auto,200,Prototype,52.8,,,,,120*,64,,,,,,,,64,280,280,410,,,,,Sample for GCE Oxygen Large Unit
,GC5348B200,,AIR|SHIELD | GCE End Cap 4cm,AIR|SHIELD | End Cap | GCE Oxygen Large | 40mm Tube | 120pcs/Roll,,AIR|SHIELD™,Auto,200,Prototype,52.8,,,,,120*,64,,,,,,,,64,280,280,410,,,,,Sample for GCE Oxygen Large Unit
,AP200120325C,,,AIR|PAKK 200x120mm 325m,,AIR|PAKK™,Auto,,Active,9.4,,,,,,,,200,325,,,,,,,,,,,,,
,EV_150Q,,EVOLVE | 150 Q Bag Inflation Device,EVOLVE | 150 Q Bag Inflation Device,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AM5027300U80 ,,,AIR|MATTM 500x270mm 300m,,AIR|MAT™,Auto,80,Prototype,,,,,,,,,500,300m,270,500,300m,270,,,,,,,,,
,AM10027300U80 ,,,AIR|MATTM 1000x270mm 300m,,AIR|MAT™,Auto,80,Prototype,,,,,,,,,1000,300m,270,1000,300m,270,,,,,,,,,
, AM5027200U100 ,,,AIR|MATTM 500x270mm 200m,,AIR|MAT™,Auto,100,Prototype,,,,,,,,,500,200m,270,500,200m,270,,,,,,,,,
,AM7027200U100 ,,,AIR|MATTM 700x270mm 200m,,AIR|MAT™,Auto,100,Prototype,,,,,,,,,700,200m,270,700,200m,270,,,,,,,,,
,GC5418,,AIR|SHIELD | L Block,AIR|SHIELD | L Block | Fireplace,,AIR|SHIELD™,Manual,,Prototype,0.45,,,,,200,36,1,,,,,,,36,400,520,200,,,,,Fireplace L Block
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
